datetime,wind_speed,wind_direction,temperature,dew_point,pressure,visibility,weather_information,categ_nuvem,altura_nuvem
2026-06-26T11:00:00Z,3.6011129,80,19,18,1024,3500,Light intensity: Rain,Broken,182.88
2026-06-26T12:00:00Z,3.6011129,60,20,19,1024,9000,Sem Info,Few,182.88
2026-06-26T13:00:00Z,2.5722235,80,20,19,1024,10000,Sem Info,Few,243.84
2026-06-26T14:00:00Z,2.0577788,190,21,19,1024,9000,Sem Info,Few,243.84
2026-06-26T15:00:00Z,1.0288894,260,22,19,1023,9000,Sem Info,Few,243.84
2026-06-26T16:00:00Z,2.0577788,50,22,19,1023,10000,Sem Info,Few,243.84
2026-06-26T17:00:00Z,1.0288894,50,22,19,1022,10000,Sem Info,Few,243.84
2026-06-26T18:00:00Z,1.5433341,300,23,20,1022,10000,Sem Info,Scattered,457.2
2026-06-26T19:00:00Z,1.5433341,10,22,20,1022,10000,Sem Info,Scattered,457.2
2026-06-26T20:00:00Z,0.5144447,10,22,20,1022,8000,Sem Info,Scattered,457.2
2026-06-26T21:00:00Z,2.0577788,40,21,19,1023,8000,Sem Info,Scattered,609.6
2026-06-26T22:00:00Z,1.5433341,340,21,20,1023,9000,Sem Info,Scattered,609.6
2026-06-26T23:00:00Z,1.0288894,340,21,20,1023,7000,Sem Info,Scattered,609.6
2026-06-27T00:00:00Z,1.5433341,240,21,20,1024,2000,Mist (French: Brume),Broken,518.16
2026-06-27T01:00:00Z,1.5433341,320,21,19,1024,3000,Mist (French: Brume),Few,518.16
2026-06-27T02:00:00Z,1.5433341,350,21,19,1024,4000,Mist (French: Brume),Few,518.16
2026-06-27T03:00:00Z,1.0288894,350,20,19,1024,5000,Mist (French: Brume),Few,457.2
2026-06-27T04:00:00Z,2.0577788,330,20,19,1023,4000,Mist (French: Brume),Few,457.2
2026-06-27T05:00:00Z,1.5433341,320,19,18,1023,5000,Mist (French: Brume),Few,609.6
2026-06-27T06:00:00Z,1.0288894,320,19,18,1022,2500,Mist (French: Brume),Few,609.6
2026-06-27T07:00:00Z,1.0288894,290,19,18,1022,500,Fog,No,0
2026-06-27T08:00:00Z,1.0288894,290,20,19,1023,400,Fog,No,0
2026-06-27T09:00:00Z,1.0288894,290,19,19,1023,500,Fog,No,0
2026-06-27T10:00:00Z,1.0288894,290,19,18,1023,500,Fog,No,0
2026-06-27T11:00:00Z,1.0288894,150,19,19,1024,500,Fog,No,0
